city,year,month,predicted_uhi
Ahmedabad,2030,8,0.785
Ahmedabad,2030,9,0.6787
Ahmedabad,2030,10,0.473
Ahmedabad,2030,11,0.3666
Ahmedabad,2030,12,0.4407
Pune,2025,1,-0.1121
Pune,2025,2,-0.3193
Pune,2025,3,-0.2298
Pune,2025,4,-0.2731
Pune,2025,5,-0.2488
Pune,2025,6,-0.6864
Pune,2025,7,0.5878
Pune,2025,8,0.4892
Pune,2025,9,0.2524
Pune,2025,10,0.5285
Pune,2025,11,0.3173
Pune,2025,12,0.2975
Pune,2026,1,-0.1121
Pune,2026,2,-0.3193
Pune,2026,3,-0.2298
Pune,2026,4,-0.2731
Pune,2026,5,-0.2488
Pune,2026,6,-0.6864
Pune,2026,7,0.5878
Pune,2026,8,0.4892
Pune,2026,9,0.2524
Pune,2026,10,0.5285
Pune,2026,11,0.3173
Pune,2026,12,0.2975
Pune,2027,1,-0.1121
Pune,2027,2,-0.3193
Pune,2027,3,-0.2298
Pune,2027,4,-0.2731
Pune,2027,5,-0.2488
Pune,2027,6,-0.6864
Pune,2027,7,0.5878
Pune,2027,8,0.4892
Pune,2027,9,0.2524
Pune,2027,10,0.5285
Pune,2027,11,0.3173
Pune,2027,12,0.2975
Pune,2028,1,-0.1121
Pune,2028,2,-0.3193
Pune,2028,3,-0.2298
Pune,2028,4,-0.2731
Pune,2028,5,-0.2488
Pune,2028,6,-0.6864
Pune,2028,7,0.5878
Pune,2028,8,0.4892
Pune,2028,9,0.2524
Pune,2028,10,0.5285
Pune,2028,11,0.3173
Pune,2028,12,0.2975
Pune,2029,1,-0.1121
Pune,2029,2,-0.3193
Pune,2029,3,-0.2298
Pune,2029,4,-0.2731
Pune,2029,5,-0.2488
Pune,2029,6,-0.6864
Pune,2029,7,0.5878
Pune,2029,8,0.4892
Pune,2029,9,0.2524
Pune,2029,10,0.5285
Pune,2029,11,0.3173
Pune,2029,12,0.2975
Pune,2030,1,-0.1121
Pune,2030,2,-0.3193
Pune,2030,3,-0.2298
Pune,2030,4,-0.2731
Pune,2030,5,-0.2488
Pune,2030,6,-0.6864
Pune,2030,7,0.5878
Pune,2030,8,0.4892
Pune,2030,9,0.2524
Pune,2030,10,0.5285
Pune,2030,11,0.3173
Pune,2030,12,0.2975
Hyderabad,2025,1,-1.4007
Hyderabad,2025,2,-1.4343
Hyderabad,2025,3,-1.6279
Hyderabad,2025,4,-1.6295
Hyderabad,2025,5,-1.1162
Hyderabad,2025,6,-1.6781
Hyderabad,2025,7,-0.739
Hyderabad,2025,8,-1.1878
Hyderabad,2025,9,-0.0364
Hyderabad,2025,10,-0.0463
Hyderabad,2025,11,-1.1515
Hyderabad,2025,12,-1.4772
Hyderabad,2026,1,-1.4007
Hyderabad,2026,2,-1.4343
Hyderabad,2026,3,-1.6279
Hyderabad,2026,4,-1.6295
Hyderabad,2026,5,-1.1162
Hyderabad,2026,6,-1.6781
Hyderabad,2026,7,-0.739
Hyderabad,2026,8,-1.1878
Hyderabad,2026,9,-0.0364
Hyderabad,2026,10,-0.0463
Hyderabad,2026,11,-1.1515
Hyderabad,2026,12,-1.4772
Hyderabad,2027,1,-1.4007
Hyderabad,2027,2,-1.4343
Hyderabad,2027,3,-1.6279
Hyderabad,2027,4,-1.6295
Hyderabad,2027,5,-1.1162
Hyderabad,2027,6,-1.6781
Hyderabad,2027,7,-0.739
Hyderabad,2027,8,-1.1878
Hyderabad,2027,9,-0.0364
Hyderabad,2027,10,-0.0463
Hyderabad,2027,11,-1.1515
Hyderabad,2027,12,-1.4772
Hyderabad,2028,1,-1.4007
Hyderabad,2028,2,-1.4343
Hyderabad,2028,3,-1.6279
Hyderabad,2028,4,-1.6295
Hyderabad,2028,5,-1.1162
Hyderabad,2028,6,-1.6781
Hyderabad,2028,7,-0.739
Hyderabad,2028,8,-1.1878
Hyderabad,2028,9,-0.0364
Hyderabad,2028,10,-0.0463
Hyderabad,2028,11,-1.1515
Hyderabad,2028,12,-1.4772
Hyderabad,2029,1,-1.4007
Hyderabad,2029,2,-1.4343
Hyderabad,2029,3,-1.6279
Hyderabad,2029,4,-1.6295
Hyderabad,2029,5,-1.1162
