city,date,year,month,day_of_year,LST_Day_Urban,LST_Day_Rural,LST_Night_Urban,UHI_Index
Bangalore,2018-09-06,2018,9,249,31.126768840375416,33.223592829865275,17.711348070660243,-2.0968239894898595
Bangalore,2018-09-14,2018,9,257,31.814447172585222,31.76283076957426,,0.05161640301096071
Bangalore,2018-09-22,2018,9,265,30.325544193331872,30.067276079678916,20.81743492342761,0.25826811365295654
Bangalore,2018-09-30,2018,9,273,30.575019561287558,30.03019385017477,18.832425683102052,0.5448257111127894
Bangalore,2018-10-08,2018,10,281,28.546314255295727,29.298671235481816,19.909994385352032,-0.7523569801860894
Bangalore,2018-10-16,2018,10,289,29.419826300496332,28.62806847310451,18.98018205662272,0.7917578273918231
Bangalore,2018-10-24,2018,10,297,30.465534655699393,30.275546862862154,18.99451303563007,0.18998779283723977
Bangalore,2018-11-01,2018,11,305,29.73873709362108,29.49277460621718,18.42510651514602,0.2459624874039008
Bangalore,2018-11-09,2018,11,313,31.401275368759684,31.472803758651526,18.239795780162147,-0.07152838989184218
Bangalore,2018-11-17,2018,11,321,30.271140895106342,30.83688153373126,19.45418984144307,-0.5657406386249164
Bangalore,2018-11-25,2018,11,329,27.730457769713006,28.390194891490093,18.73683066644675,-0.6597371217770878
Bangalore,2018-12-03,2018,12,337,28.131191621708172,28.895483530376755,18.623977106221993,-0.7642919086685822
Bangalore,2018-12-11,2018,12,345,28.652499037696025,29.37859184323737,17.653733950614065,-0.7260928055413451
Bangalore,2018-12-19,2018,12,353,30.377400324696968,31.31121460345231,19.046352127174725,-0.9338142787553423
Bangalore,2018-12-27,2018,12,361,28.231696916910884,29.514087671025408,17.0368973509201,-1.2823907541145232
Bangalore,2019-01-01,2019,1,1,29.797980323748956,31.09270736098658,16.49627484433187,-1.2947270372376245
Bangalore,2019-01-09,2019,1,9,30.695046081078395,32.111018474937765,17.029808164673913,-1.41597239385937
Bangalore,2019-01-17,2019,1,17,30.35905207623352,32.01736448529347,17.966075734004903,-1.658312409059949
Bangalore,2019-01-25,2019,1,25,29.35403536410941,30.125191164239226,18.869177048568666,-0.7711558001298151
Bangalore,2019-02-02,2019,2,33,32.599187460731834,33.730028266556445,20.510276652585492,-1.1308408058246116
Bangalore,2019-02-10,2019,2,41,32.44594839616695,34.054943945374944,20.733215729245316,-1.6089955492079966
Bangalore,2019-02-18,2019,2,49,36.198817255030725,37.858169648427115,21.675282968554527,-1.6593523933963894
Bangalore,2019-02-26,2019,2,57,35.15988016364361,36.48724504997902,22.232279011311302,-1.3273648863354168
Bangalore,2019-03-06,2019,3,65,38.02447599299802,39.84334754723382,23.497853123827827,-1.8188715542357983
Bangalore,2019-03-14,2019,3,73,38.860568551846804,40.66198501995222,23.043467442653828,-1.8014164681054154
Bangalore,2019-03-22,2019,3,81,39.82723874749413,41.721609700139894,24.891960373268766,-1.8943709526457653
Bangalore,2019-03-30,2019,3,89,39.98065402133004,41.92770892014934,24.362737010202917,-1.947054898819303
Bangalore,2019-04-07,2019,4,97,40.00526369937755,41.84386249349468,25.51451151963593,-1.8385987941171322
Bangalore,2019-04-15,2019,4,105,38.02274430371969,40.3874366219553,25.223874085189426,-2.364692318235612
Bangalore,2019-04-23,2019,4,113,37.15184323968247,38.61468360900817,23.284534191639654,-1.462840369325697
Bangalore,2019-05-01,2019,5,121,36.35402173523377,37.63528537006325,22.32830576660415,-1.2812636348294788
Bangalore,2019-05-09,2019,5,129,35.4347246302907,36.48082062039995,23.013417516573213,-1.0460959901092508
Bangalore,2019-05-17,2019,5,137,33.505374133737675,35.066055479978644,23.930169639858768,-1.560681346240969
Bangalore,2019-05-25,2019,5,145,30.621896844760062,31.32511517368385,24.501268400997862,-0.7032183289237892
Bangalore,2019-06-02,2019,6,153,32.41224387280168,32.40879078095789,23.69129910709444,0.003453091843795164
Bangalore,2019-06-10,2019,6,161,29.886045616536023,32.191658308606776,23.48248467569496,-2.3056126920707527
Bangalore,2019-07-04,2019,7,185,32.354463949843286,36.820074594594644,20.655529780564283,-4.465610644751358
Bangalore,2019-07-20,2019,7,201,34.2190822972173,35.49308524669595,,-1.2740029494786498
Bangalore,2019-09-22,2019,9,265,31.710238652316363,31.163704209461983,20.902311430311787,0.5465344428543801
Bangalore,2019-09-30,2019,9,273,28.530099159694547,28.734892199181502,20.631449398316665,-0.2047930394869546
Bangalore,2019-10-08,2019,10,281,29.091866127613933,28.72910051255422,20.52607811425057,0.3627656150597147
Bangalore,2019-10-24,2019,10,297,27.434348659003863,28.942846145734507,20.258984674329522,-1.5084974867306435
Bangalore,2019-11-01,2019,11,305,28.873424514737653,28.439000330769694,20.049236879942537,0.434424183967959
Bangalore,2019-11-09,2019,11,313,27.944452631945182,27.880689913458315,19.655092300734115,0.06376271848686699
Bangalore,2019-11-17,2019,11,321,29.869957571399258,29.478706857632453,19.303674234641502,0.3912507137668051
Bangalore,2019-11-25,2019,11,329,28.609007340811687,28.82270560395691,16.15426362497603,-0.213698263145222
Bangalore,2019-12-03,2019,12,337,27.171740760046703,27.744914350465443,17.441555216322914,-0.5731735904187403
Bangalore,2019-12-11,2019,12,345,28.35245003754759,28.804569485334227,17.39869467793903,-0.45211944778663593
Bangalore,2019-12-19,2019,12,353,28.013324471056148,27.720510585886117,19.252242677450376,0.2928138851700304
Bangalore,2019-12-27,2019,12,361,28.4420551943467,29.25848433785748,19.041466008295906,-0.8164291435107813
Bangalore,2020-01-01,2020,1,1,29.852808208144815,30.505727936098534,19.53576232962489,-0.6529197279537193
Bangalore,2020-01-09,2020,1,9,29.253513215574106,29.941821392997138,18.3810304887201,-0.688308177423032
Bangalore,2020-01-17,2020,1,17,31.449663727425985,32.604804967987796,19.532024354693714,-1.155141240561811
Bangalore,2020-01-25,2020,1,25,32.25354193381624,33.3022328112274,20.107458172621282,-1.0486908774111612
Bangalore,2020-02-02,2020,2,33,31.511905534239954,32.2575466752003,19.725500940197424,-0.7456411409603483
Bangalore,2020-02-10,2020,2,41,33.54783368181729,35.10375902545532,20.88476340309783,-1.5559253436380303
Bangalore,2020-02-18,2020,2,49,35.73003793191229,36.67972928514064,21.21091835155902,-0.9496913532283457
Bangalore,2020-02-26,2020,2,57,33.60565974360705,35.163942476954375,21.766960650867706,-1.5582827333473261
Bangalore,2020-03-05,2020,3,65,34.887764055623215,35.86266416825622,23.385074795832562,-0.9749001126330015
Bangalore,2020-03-13,2020,3,73,38.80387921887123,40.49924503796571,23.745282618454905,-1.6953658190944765
Bangalore,2020-03-21,2020,3,81,36.02934320623145,37.849186081326486,22.890318176421715,-1.8198428750950342
Bangalore,2020-03-29,2020,3,89,40.19314724361675,42.05185006500791,24.97355599658606,-1.8587028213911623
Bangalore,2020-04-06,2020,4,97,37.00042791434378,38.603413811057585,23.1965461087015,-1.602985896713804
